Date,Tenure,HDFC,KOTAK,ICICI,AXIS,IDFC,SBI,PNB,BOB,CANARA,UNION
2023-07-21,2 years 11 months ,7.2,,,,,,,,,
2023-07-21,2 years 11 months 1 day - 3 years,7.0,,,,,,,,,
2023-07-21,3 years 1 day - less than 4 years 7 months,7.0,,,,,,,,,
2023-07-21,4 years 7 months ,7.25,,,,,,,,,
2023-07-21,4 years 7 months 1 day - 5 years,7.0,,,,,,,,,
2023-07-21,5 years 1 day - 10 years,7.0,,,,,,,,,
2023-07-21,7 - 14 days,,2.75,,,,,,,,
2023-07-21,15 - 30 days,,3.0,,,,,,,,
2023-07-21,31 - 45 days,,3.25,,,,,,,,
2023-07-21,46 - 90 days,,3.5,,,,,,,,
2023-07-21,91 - 120 days,,4.0,,,,,,,,
2023-07-21,121 - 179 days,,4.25,,,,,,,,
2023-07-21,180 days,,7.0,,,,,,,,
2023-07-21,181 days - 269 days,,6.0,,,,,,,,
2023-07-21,270 days,,6.0,,,,,,,,
2023-07-21,271 days - 363 days,,6.0,,,,,,,,
2023-07-21,364 days,,6.5,,,,,,,,
2023-07-21,365 days - 389 days,,7.1,,,,,,,,
2023-07-21,390 days ,,7.2,,,,,,,,
2023-07-21,391 days - less than 23 months,,7.2,,,,,,,,
2023-07-21,23 months,,7.2,,,,,,,,
2023-07-21,23 months 1 day - less than 2 years,,7.2,,,,,,,,
2023-07-21,2 years - less than 3 years,,7.0,,,,,,,,
2023-07-21,3 years - less than 4 years,,6.5,,,,,,,,
2023-07-21,4 years - less than 5 years,,6.25,,,,,,,,
2023-07-21,5 years - 10 years,,6.2,,,,,,,,
2023-07-21,7 days - 14 days,,,3.0,,,,,,,
2023-07-21,15 days - 29 days,,,3.0,,,,,,,
2023-07-21,30 days - 45 days,,,3.5,,,,,,,
2023-07-21,46 days - 60 days,,,4.25,,,,,,,
2023-07-21,61 days - 90 days,,,4.5,,,,,,,
2023-07-21,91 days - 120 days,,,4.75,,,,,,,
2023-07-21,121 days - 150 days,,,4.75,,,,,,,
2023-07-21,151 days - 184 days,,,4.75,,,,,,,
2023-07-21,185 days - 210 days,,,5.75,,,,,,,
2023-07-21,211 days - 270 days,,,5.75,,,,,,,
