,HDFC,ICICI,AXIS,IDFC,SBI,PNB,BOB,CANARA,UNION
254,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
255,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
256,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
257,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
258,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
259,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
260,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
261,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
262,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
263,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
264,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
265,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
266,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
267,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
268,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
269,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
270,5.75,5.75,6.0,6.5,5.75,5.5,5.75,6.5,5.25
271,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
272,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
273,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
274,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
275,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
276,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
277,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
278,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
279,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
280,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
281,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
282,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
283,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
284,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
285,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
286,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
287,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
288,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
289,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
290,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
291,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
292,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
293,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
294,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
295,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
296,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
297,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
298,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
299,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
300,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
301,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
302,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
303,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
304,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
305,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
306,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
307,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
308,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
309,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
310,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
311,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
312,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
313,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
314,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
315,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
316,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
317,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
318,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
319,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
320,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
321,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
322,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
323,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
324,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
325,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
326,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
327,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
328,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
329,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
330,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
331,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
332,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
333,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
334,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
335,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
336,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
337,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
338,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
339,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
340,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
341,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
342,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
343,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
344,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
345,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
346,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
347,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
348,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
349,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
350,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
351,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
352,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
353,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
354,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
